Town,State,County
Yantis,TX,Reeves
Aspermont,TX,NULL
Hempstead,TX,Fort Bend
Staples,TX,NULL
Sugar Land,TX,Collin
Euless,TX,NULL
Saint Hedwig,TX,NULL
Tye,TX,NULL
Pottsboro,TX,NULL
New Waverly,TX,Callahan
Sabinal,TX,Tarrant
Odessa,TX,Hunt
Iola,TX,Cass
Big Lake,TX,Aransas
Laguna Vista,TX,Gregg
Gruver,TX,Wood
Guadalupe River State Park,TX,Stonewall
Mineral Wells,TX,Waller
Hedley,TX,Guadalupe
Gilmer,TX,Fort Bend
Washington,TX,Tarrant
Christoval,TX,NULL
Milford,TX,Taylor
Gordonville,TX,Grayson
Pittsburg,TX,Walker
Arcola,TX,Uvalde
Needville,TX,Ector
Booth,TX,Grimes
Alamo Heights,TX,Reagan
Katy,TX,Cameron
Iraan,TX,Hansford
Seagoville,TX,NULL
Mt. Pleasant,TX,Palo Pinto
Arlington,TX,Donley
Manchaca,TX,Upshur
Rockport/Lamar,TX,NULL
Farmersville,TX,Tom Green
Clarksville,TX,Ellis
Vernon,TX,NULL
Sylvester,TX,Camp
"Grapevine, Tx",TX,Fort Bend
Rhome,TX,Fort Bend
Spur,TX,NULL
Sargent,TX,Bexar
Palacios,TX,Harris
Pasadena,TX,Pecos
Seabrook,TX,Dallas
Walnut Springs,TX,NULL
Port Isabel,TX,Tarrant
Colleyville,TX,Travis
Bulverde,TX,NULL
Quintana Beach,TX,Collin
Tow,TX,Red River
Waxahachie,TX,Wilbarger
Jonestown,TX,Fisher
Decatur,TX,NULL
Old River-Winfree,TX,Wise
Dickens,TX,Dickens
Medina,TX,Matagorda
Hooks,TX,Matagorda
Carlton,TX,Harris
Port Mansfield,TX,Harris
Lakehills,TX,Bosque
Plantersville,TX,Cameron
Anna,TX,Tarrant
Coupland,TX,Comal
Parker,TX,NULL
Worthing,TX,Llano
Clute,TX,Ellis
Luling,TX,Travis
Burleson,TX,Wise
Oakland,TX,Chambers
Bergheim,TX,Dickens
Bluffdale,TX,Zapata
Port Neches,TX,Bowie
Blessing,TX,Hamilton
Weir,TX,Willacy
Sealy,TX,Bandera
Stagecoach,TX,Grimes
Mathis,TX,Collin
Moody,TX,Williamson
Denison,TX,Collin
Sisterdale,TX,NULL
Stinnett,TX,Brazoria
Centerville,TX,Caldwell
Haslet,TX,Johnson
Marshall,TX,NULL
Rice,TX,NULL
Grapetown,TX,NULL
Lake Buchanan,TX,Jefferson
Buffalo Gap,TX,Matagorda
Kingwood,TX,Williamson
Buna,TX,Austin
Rocksprings,TX,Montgomery
Aransas Nwr,TX,San Patricio
Mission Bend,TX,McLennan
San Benito,TX,Grayson
Valley View,TX,NULL
Port Oconner,TX,Hutchinson
Highland Haven,TX,Leon
Roymayor,TX,Tarrant
Weedhaven,TX,Harrison
Pollok,TX,Navarro
Paradise,TX,NULL
Gordon,TX,NULL
Pattison,TX,Taylor
Mont Belvieu,TX,NULL
Atlanta,TX,Jasper
Shady Shores,TX,Edwards
Hallettsville,TX,NULL
Cleveland,TX,Fort Bend
Volente (Near Austin),TX,Cameron
Coldspring,TX,Cooke
Selma,TX,NULL
Water Valley,TX,Burnet
Uvalde,TX,NULL
Mount Vernon,TX,NULL
Copell,TX,NULL
Dobbin,TX,Wise
Woodlands,TX,Palo Pinto
Boys Ranch,TX,Waller
Llano,TX,Chambers
Morgan,TX,Cass
Alief,TX,Denton
Addison,TX,Lavaca
Castell,TX,Liberty
La Feria,TX,NULL
Greenville,TX,San Jacinto
"Sugar Land, Texas",TX,Bexar
Beach City,TX,NULL
Granbury,TX,Uvalde
"Pipe Creek, Tx",TX,Franklin
Sanderson,TX,NULL
Groesbeck,TX,NULL
Georgetown,TX,NULL
Kilgore,TX,Oldham
West,TX,Llano
Cibolo,TX,Bosque
Red Oak,TX,NULL
Lake Jackson,TX,Dallas
Hillsboro,TX,NULL
Granite Shoals,TX,Cameron
Francitas,TX,Hunt
Sanger,TX,NULL
"Glen Rose,",TX,Chambers
Terrell,TX,Hood
Calallen,TX,NULL
"Boerne,",TX,Terrell
Spring,TX,Limestone
Plainview,TX,Williamson
Clarendon,TX,Gregg
Buckholts,TX,McLennan
Spearman,TX,Guadalupe
Cisco,TX,Ellis
Kemp,TX,Brazoria
Garwood,TX,Hill
The Woodlands,TX,Burnet
Brownfield,TX,NULL
Ballinger,TX,Denton
Orchard,TX,NULL
Mt Enterprise,TX,Kaufman
Cypress,TX,NULL
Whon,TX,NULL
Windcrest,TX,Harris
Graford,TX,Hale
Rio Hondo,TX,Donley
Snyder,TX,Milam
Denton,TX,Hansford
Fairview,TX,Eastland
Dime Box,TX,Kaufman
Victoria 77901,TX,Colorado
Longview,TX,Montgomery
Azle,TX,Terry
Round Mountain,TX,Runnels
Atascosa,TX,Fort Bend
Lufkin,TX,NULL
Old Tunnel State Park,TX,NULL
Lacy-Lakeview,TX,NULL
Flatonia,TX,Bexar
Wimberley,TX,Palo Pinto
Tivoli,TX,Cameron
Huntsville,TX,Scurry
Canton,TX,Denton
Thorndale,TX,Collin
Zavalla,TX,Lee
Brownsville,TX,NULL
Waco,TX,Gregg
New Caney,TX,Tarrant
Houston,TX,Blanco
Chandler,TX,NULL
Todd Mission,TX,Angelina
Buda,TX,NULL
De Kalb,TX,McLennan
Matagorda,TX,Fayette
Southlake,TX,Hays
Sunnyvale,TX,Refugio
Boerne,TX,Walker
San Juan,TX,Van Zandt
Fulshear,TX,Milam
Freer,TX,Angelina
Mabank,TX,Cameron
Fulton,TX,McLennan
Edom,TX,NULL
Port O Connor,TX,Harris
Baytown,TX,Henderson
Midland,TX,Grimes
Linn,TX,Hays
San Felipe,TX,Bowie
Crowley,TX,Matagorda
Von Ormy,TX,Tarrant
James Kiel River Bend Park,TX,Dallas
Johnson City,TX,Kendall
Elmendorf,TX,Hidalgo
Pearland,TX,Fort Bend
Sunray,TX,Duval
Lumberton,TX,Kaufman
Palmer,TX,Aransas
Diana,TX,Van Zandt
Trinity,TX,NULL
Salado,TX,Harris
Stonewall,TX,Midland
Ganado,TX,Hidalgo
La Grange,TX,Austin
Wills Point,TX,Tarrant
Lamar,TX,Bexar
Sabine Pass,TX,NULL
Brazoria,TX,Blanco
Montfort,TX,Bexar
Corpus Christi,TX,Brazoria
Seymour,TX,Moore
Dayton,TX,Hardin
Pearl,TX,Ellis
Kemah,TX,Cameron
Orangefield,TX,NULL
Walburg,TX,Trinity
Lavon,TX,Bell
Taylor,TX,Gillespie
Santo,TX,Jackson
Melissa,TX,Fayette
Oglesby,TX,Van Zandt
La Porte,TX,Aransas
Lometa,TX,NULL
Coppell,TX,Brazoria
Hondo,TX,NULL
Live Oak,TX,Nueces
Shallowater,TX,Baylor
Poteet,TX,Liberty
Junction,TX,NULL
Wallis,TX,Galveston
Gardendale,TX,NULL
Raymondville,TX,NULL
Corpus Christi Texas,TX,Collin
Port Lavaca,TX,Williamson
Crabapple,TX,Palo Pinto
Scurry,TX,Collin
Windthorst,TX,Coryell
Williamson County,TX,Harris
Carrollton,TX,Lampasas
Jacksboro,TX,Dallas
"Wichita Falls, Tx",TX,Medina
Dublin,TX,Bexar
Abilene,TX,Lubbock
Scroggins,TX,Atascosa
North Padre Island,TX,Kimble
Center Point,TX,Austin
Fredonia,TX,Ector
Archer City,TX,Willacy
Menard,TX,NULL
Sinton,TX,Calhoun
Duncanville,TX,NULL
San Leon,TX,Kaufman
Jacksonville,TX,Archer
Saginaw,TX,NULL
Gainesville,TX,Dallas
Tenaha,TX,Jack
Haltom City,TX,NULL
Forney,TX,Erath
Flowella,TX,Taylor
Coleman,TX,NULL
Pleasanton,TX,NULL
Ferris,TX,Kerr
Fair Oaks Ranch,TX,NULL
Angleton,TX,Archer
Olton,TX,Menard
Denver City,TX,San Patricio
Wallisville,TX,Dallas
Texas,TX,Galveston
Vidor,TX,Cherokee
"Azle, Tx",TX,Tarrant
Floresville,TX,Cooke
Colorado City,TX,Shelby
Bridge City,TX,Tarrant
Mission Valley,TX,Kaufman
Karnack,TX,Brooks
Martindale,TX,Coleman
Taylor Lake Village,TX,Atascosa
"Rockport,",TX,Ellis
Hearne,TX,Bexar
Missouri City,TX,Brazoria
Lampasas,TX,Lamb
Nueces Bay Causeway,TX,Yoakum
River Oaks,TX,NULL
Horseshoe Bay,TX,NULL
Lubbock,TX,Orange
Mobeetie,TX,NULL
Mckinney Roughs,TX,Wilson
Surfside,TX,Mitchell
Edinburg,TX,Orange
Venus,TX,NULL
High Island,TX,NULL
China,TX,Caldwell
Rio Medina,TX,Harris
Lockhart,TX,NULL
Dalworthington Gardens,TX,Robertson
Mission,TX,Fort Bend
Galena Park,TX,Lampasas
"San Antonio, Texas, Usa 78209",TX,NULL
Bowie,TX,Tarrant
Iowa Park,TX,Llano
Wyldwood,TX,Lubbock
Los Fresnos,TX,Wheeler
Somerville,TX,NULL
Grape Creek,TX,NULL
Grandview,TX,Hidalgo
Bartlett,TX,Johnson
Point Comfort,TX,NULL
"Fair Oaks Ranch, Texas",TX,Jefferson
Cookville,TX,NULL
Little Elm,TX,Caldwell
Hext,TX,Tarrant
Doss,TX,Hidalgo
Emory,TX,Harris
Princeton,TX,NULL
Dumas,TX,Montague
Galveston Bay,TX,Wichita
Burkburnett,TX,Bastrop
"Glen Rose, Tx",TX,Cameron
Lago Vista,TX,Burleson
Utley,TX,Tom Green
Austn,TX,Johnson
Boyd,TX,Williamson
Bayside,TX,Calhoun
Mingus,TX,NULL
Eastland,TX,NULL
Desdemona,TX,Denton
Wolfe City,TX,NULL
Danbury,TX,NULL
Bluff Dale,TX,Rains
Cameron,TX,Collin
Bronte,TX,Moore
Yoakum,TX,NULL
Rusk,TX,Wichita
Pilot Point,TX,NULL
Irving,TX,Travis
Amarillo,TX,NULL
Ingram,TX,NULL
Wall,TX,Wise
Helotes,TX,Refugio
Orange,TX,Palo Pinto
Guy,TX,Eastland
Lovelady,TX,NULL
Round Rock,TX,Hunt
Bristol,TX,Brazoria
Athens,TX,Erath
Kerens,TX,Milam
S. Padre Island,TX,Coke
Belton,TX,Lavaca
Montgomery,TX,Cherokee
Bogata,TX,Denton
Pyote,TX,Dallas
Bee Cave,TX,Potter
Heath,TX,Kerr
Rockwall,TX,NULL
Lake Dallas,TX,Bexar
Seadrift,TX,Orange
Lamesa,TX,NULL
Canyon,TX,Houston
Kyle,TX,Williamson
"Rosharon,Tx",TX,Ellis
Levelland,TX,Henderson
Lost Maples State Park,TX,Navarro
Alvarado,TX,NULL
Santa Ana Nwr,TX,Bell
Temple,TX,Montgomery
Maypearl,TX,Red River
Pipe Creek,TX,Ward
Big Spring,TX,Travis
Whitestar,TX,Rockwall
Brenham,TX,Rockwall
Bolivar Peninsula,TX,Denton
Jersey Village,TX,Calhoun
Hamilton,TX,Dawson
Smith Point,TX,Randall
Liberty Hill,TX,Hays
Karnes City,TX,NULL
Lockney,TX,Hockley
"Uvalde, Texas",TX,NULL
Tuscola,TX,Johnson
Douglass,TX,NULL
Broaddus,TX,Bell
Terlingua,TX,Ellis
Saint Jo,TX,NULL
Gary,TX,Howard
Hutto,TX,NULL
Fort Hood,TX,Washington
Dallas Airport,TX,Galveston
Deer Park,TX,Harris
Crane,TX,Hamilton
Manvel,TX,NULL
Argyle,TX,Williamson
Kountze,TX,Karnes
Blanket,TX,Floyd
Mo Ranch,TX,NULL
El Campo,TX,Taylor
Mexia,TX,NULL
Littlefield,TX,San Augustine
Post,TX,Brewster
Cross Roads,TX,NULL
Flower Mound,TX,NULL
Smithville,TX,Williamson
Pecos,TX,Coryell
Rankin,TX,NULL
Jefferson,TX,Harris
Converse,TX,Crane
Big Sandy,TX,Brazoria
Spicewood,TX,Denton
Hunt,TX,Hardin
Wylie,TX,Brown
Pinehurst,TX,NULL
Del Rio,TX,Wharton
Waring,TX,Limestone
Mt Pleasant,TX,Lamb
Frost,TX,Garza
Forth Worth,TX,Denton
Lorena,TX,Denton
Vanderpool,TX,Bastrop
Sulphur Springs,TX,NULL
Quntana,TX,Upton
Carrizo Springs,TX,Marion
Copperas Cove,TX,Bexar
Highland Village,TX,Upshur
Texarkana,TX,NULL
Bellville,TX,NULL
Farmers Branch,TX,Collin
Rio Grande Valley,TX,Montgomery
Whitney,TX,Val Verde
Trinidad,TX,NULL
Brookshire,TX,NULL
Leander,TX,Navarro
Cleburne,TX,NULL
Klein,TX,McLennan
Crosby,TX,NULL
Buchanan Dam,TX,Hopkins
Brookshire & Katy,TX,NULL
Manor,TX,Dimmit
Lelia Lake,TX,Coryell
Troup,TX,Denton
San Antonio,TX,Bowie
Kingsville,TX,Austin
Waskom,TX,Dallas
Laneville,TX,NULL
Austwell,TX,Hill
The Colony,TX,Henderson
Richwood,TX,Waller
Dickinson,TX,Williamson
Texas City,TX,Johnson
Lindale,TX,NULL
Killeen,TX,Harris
Mcqueeney,TX,Llano
Mercedes,TX,NULL
Cherokee,TX,Travis
Concan,TX,Donley
Rosita North,TX,Smith
Cedar Hill,TX,Bexar
Sonora,TX,Kleberg
Ingleside On The Bay,TX,Harrison
Shafter,TX,NULL
Gunter,TX,Refugio
Murphy,TX,Denton
Webberville,TX,Brazoria
Pottsville,TX,Galveston
Timpson,TX,Galveston
Whitesboro,TX,Smith
Van Alstyne,TX,Bell
Livingston,TX,Guadalupe
Krause Springs,TX,Hidalgo
Brackettville,TX,NULL
Old Glory,TX,NULL
Goldthwaite,TX,NULL
Canyon Lake,TX,Dallas
Driftwood,TX,Sutton
Eldorado,TX,San Patricio
Paris,TX,NULL
Alba,TX,Grayson
Santa Fe,TX,Collin
Everman,TX,Travis
College Station,TX,NULL
Nash,TX,Shelby
Portland,TX,Grayson
Frelsburg,TX,Grayson
Padre Island,TX,Polk
Port Arthur,TX,NULL
Gladewater,TX,Kinney
West Columbia,TX,NULL
Magnolia,TX,Mills
Elgin,TX,Comal
Burnet,TX,Hays
Fort Sam Houston,TX,Schleicher
Frisco,TX,Lamar
Rowlett,TX,Wood
Bridgeport,TX,Galveston
Roosevelt,TX,Tarrant
Quemado,TX,Brazos
San Angelo,TX,Bowie
North Richland Hills,TX,San Patricio
Joshua,TX,NULL
Nederland,TX,NULL
"Richardson, Texas",TX,Jefferson
Hitchcock,TX,Gregg
Fayetteville,TX,Brazoria
Willow Spring,TX,Montgomery
Watauga,TX,Bastrop
San Marcos,TX,Burnet
Sachse,TX,NULL
Kingsbury,TX,Collin
Richland Springs,TX,Dallas
Ladonia,TX,Wise
Mineola,TX,NULL
Austin,TX,Maverick
Mount Pleasant,TX,Tom Green
Aubrey,TX,Tarrant
Galveston Island,TX,Johnson
White Settlement,TX,Jefferson
Sherman,TX,NULL
Winters,TX,Galveston
Matagorda Island,TX,Fayette
Jasper,TX,NULL
Nocona,TX,Tarrant
Midland (Greenwood Community),TX,Hays
Blanco River,TX,Dallas
Bandera,TX,Guadalupe
Rogers,TX,San Saba
Madisonville,TX,Fannin
Ace,TX,Wood
Bells,TX,Travis
Dfw Airport,TX,Titus
Royse City,TX,Denton
Comanche,TX,NULL
Ovilla,TX,Tarrant
Victoria Tx 77901,TX,Grayson
"Bergheim, Tx",TX,Runnels
Trophy Club,TX,NULL
New Ulm,TX,Jasper
Quinlan,TX,Montague
Garden Ridge,TX,NULL
Sattler,TX,NULL
Celina,TX,Bandera
Mico,TX,Bell
Bertram,TX,Madison
Honey Grove,TX,NULL
Navasota,TX,Grayson
Flo,TX,NULL
Alamo,TX,Rockwall
Lancaster,TX,Comanche
El Paso,TX,Ellis
Wixon Valley,TX,NULL
Anson,TX,NULL
Liberty,TX,Denton
Springtown,TX,Austin
Tomball,TX,Hunt
Trenton,TX,Comal
Tool,TX,NULL
Zapata,TX,Collin
Eagle Pass,TX,NULL
Lakeway,TX,Burnet
Lorenzo,TX,Fannin
Jbsa Ft Sam Houston,TX,Grimes
Godley,TX,NULL
Crockett,TX,Hidalgo
Annetta,TX,Dallas
Turkey,TX,El Paso
Byers,TX,Brazos
Hallsville,TX,Jones
Grand Prairie,TX,Liberty
Castroville,TX,Parker
Laredo,TX,Harris
Cold Spring,TX,Fannin
Natalia,TX,Henderson
Big Bend National Park,TX,Zapata
Grand Saline,TX,Maverick
Detroit,TX,Travis
Jourdanton,TX,Crosby
Tyler,TX,NULL
San Diego,TX,Johnson
Presidio,TX,Houston
Houston 77059,TX,Parker
Sour Lake,TX,Hall
Charlotte,TX,Clay
"Fair Oaks Ranch,",TX,Harrison
Gause,TX,Dallas
Gustine,TX,Medina
Blossom,TX,Webb
St Jo,TX,NULL
Plano,TX,Medina
"James Kiel Park, Kendall Co., Tx",TX,NULL
Campbell,TX,Van Zandt
Atascocita,TX,Red River
Robstown,TX,Atascosa
South Houston,TX,Smith
Mcgregor,TX,Duval
Hewitt,TX,Presidio
Caldwell,TX,NULL
Bedford,TX,Hardin
Nada,TX,Atascosa
Gonzales,TX,NULL
Palo Pinto,TX,Milam
Port O'Connor,TX,Comanche
Wilson,TX,Lamar
Stiles,TX,NULL
Conroe,TX,Collin
Naruna,TX,NULL
West Lake Hills,TX,Hunt
Independence,TX,Harris
Paige,TX,Nueces
Krum,TX,Harris
Brownsboro,TX,McLennan
Sumner,TX,McLennan
Fate,TX,Burleson
Voca,TX,Tarrant
Cedar Creek,TX,Colorado
Columbus,TX,Gonzales
Throckmorton,TX,Palo Pinto
Olmito,TX,Calhoun
Nacogdoches,TX,Lynn
Hideaway,TX,NULL
Flint,TX,Montgomery
Mullin,TX,NULL
Elkhart,TX,Travis
Aransas National Wildlife Refuge,TX,NULL
Troy,TX,Bastrop
South Plains,TX,Denton
Sunset Valley,TX,Henderson
Stephenville,TX,NULL
Sandia,TX,Rockwall
San Saba,TX,NULL
Mccoy,TX,Bastrop
Adkins,TX,Colorado
The Hills,TX,Throckmorton
Hamshire,TX,Cameron
Porter,TX,Nacogdoches
Forestburg,TX,Smith
Hurst,TX,NULL
Comfort,TX,Mills
Pflugerville,TX,Anderson
Alice,TX,NULL
Lewisville,TX,Bell
Dale,TX,NULL
Florence,TX,Travis
Millersview,TX,Erath
Muenster,TX,Jim Wells
Schertz,TX,San Saba
Mckinney,TX,NULL
Gatesville,TX,NULL
Scissors,TX,Travis
Mesquite,TX,Jefferson
Brownwood,TX,NULL
Hockley,TX,NULL
Milano,TX,Tarrant
Garfield,TX,Kendall
Benbrook,TX,Travis
Art,TX,Jim Wells
Surfside Beach,TX,Denton
Graham,TX,NULL
Quanah,TX,Williamson
Kurten,TX,NULL
Bloomburg,TX,Cooke
Goliad,TX,Bexar
Comstock,TX,Collin
Lakewood Village,TX,Coryell
Canadian,TX,Hidalgo
Horizon City,TX,Dallas
Red Rock,TX,Brown
Weatherford,TX,NULL
Avinger,TX,Milam
Whitewright,TX,Travis
Bastrop,TX,Tarrant
Woodway,TX,NULL
Holman,TX,Brazoria
Anderson,TX,Young
Meadows Place,TX,Hardeman
Mason To Austin,TX,Brazos
"Darrouzett, Tx",TX,Cass
Meadowlakes,TX,Goliad
Petrolia,TX,NULL
Corsicana,TX,Denton
Ropesville,TX,Hemphill
El Indio,TX,El Paso
Blanco,TX,Bastrop
Marble Falls,TX,Parker
Palestine,TX,Cass
Bryan,TX,Grayson
Hedwigs Hill,TX,Bastrop
Fort Mckavett,TX,McLennan
Mclendon-Chisholm,TX,NULL
Deport,TX,Grimes
Tarpley,TX,Fort Bend
Marathon,TX,NULL
Allen,TX,NULL
Fort Davis,TX,Burnet
Harlingen,TX,Clay
Niederwald,TX,Navarro
Glenn Heights,TX,Hockley
Bonham,TX,Maverick
La Marque,TX,Blanco
Cuero,TX,Burnet
Kingsland,TX,Anderson
,AL,Brazos
Munford,AL,NULL
Mount Olive,AL,NULL
Odenville,AL,Rockwall
Chunchula,AL,Lamar
Fort Payne,AL,NULL
Moundville,AL,Brewster
Valley,AL,Collin
San Pedro,AL,Jeff Davis
Leeds,AL,Cameron
Millbrook,AL,Hays
Vestavia Hills,AL,Dallas
Montevallo,AL,Fannin
Hoover,AL,Galveston
Gardendale,AL,DeWitt
Semmes,AL,Llano
Blountsville,AL,NULL
Livingston,AL,Talladega
Silverhill,AL,Jefferson
Oneonta,AL,St. Clair
Alabaster,AL,Mobile
Grove Hill,AL,DeKalb
Mobile,AL,Hale
Mountain Brook,AL,Chambers
Leesburg,AL,NULL
Decatur,AL,Jefferson
Ardmore,AL,Elmore
Lincoln,AL,Jefferson
Gulfshores,AL,Shelby
Verbena,AL,Jefferson
Mccalla,AL,Jefferson
Springville,AL,Mobile
Carlton,AL,Blount
Waverly,AL,Sumter
Beatrice,AL,Baldwin
Hayden,AL,Blount
Austin,AL,Shelby
Scottsboro,AL,Clarke
Smiths Station,AL,Mobile
Perdido,AL,Jefferson
Woodland,AL,Cherokee
Alexander City,AL,Morgan
Jasper,AL,Limestone
Henryville,AL,Talladega
Forkland,AL,NULL
Moody,AL,NULL
Tuscaloosa,AL,Jefferson
Toney,AL,St. Clair
New Hope,AL,Clarke
Chickasaw,AL,Chambers
Jacksons' Gap,AL,Monroe
Vincent,AL,Blount
Boaz,AL,NULL
Jackson,AL,Jackson
Cullman,AL,Lee
Grand Bay,AL,Baldwin
Wellington,AL,Randolph
Irondale,AL,Tallapoosa
Somerville,AL,Walker
Auburn,AL,NULL
Stemley,AL,Greene
Cleveland,AL,St. Clair
Billingsley,AL,Tuscaloosa
Fultondale,AL,NULL
Selma,AL,Madison
Attalla,AL,Mobile
Moulton,AL,Tallapoosa
Theodore,AL,Shelby
Burkville,AL,Marshall
Seminole,AL,Clarke
Falkville,AL,Cullman
Salem,AL,Mobile
Point Clear,AL,NULL
Rainbow City,AL,Jefferson
Valley Head,AL,Morgan
Bryant,AL,Lee
Enterprise,AL,NULL
Ozark,AL,Blount
Courtland,AL,Autauga
Cusseta,AL,Jefferson
Thomasville,AL,Dallas
Autaugaville,AL,Etowah
Prattville,AL,Lawrence
Pike Road,AL,Mobile
Priceville,AL,NULL
Kinston,AL,NULL
Alpine,AL,Morgan
Middle Bay Lighthouse,AL,NULL
Mc Kenzie,AL,Baldwin
Sterrett,AL,Etowah
Fayette,AL,DeKalb
Leroy,AL,NULL
Atmore,AL,Coffee
Athens,AL,Dale
Citronelle,AL,Lawrence
Montgomery,AL,Chambers
Town Creek,AL,Clarke
Fort Morgan,AL,Autauga
Headland,AL,Autauga
Meridianville,AL,Montgomery
Elkmont,AL,Morgan
Gulf Shores,AL,Coffee
Geraldine,AL,NULL
Morris,AL,NULL
Daphne,AL,NULL
Cahaba Heights,AL,Shelby
Harpersville,AL,Fayette
Bon Secour,AL,Washington
Gulf Highlands,AL,Escambia
Helena,AL,Limestone
"Spanish Fort,Al",AL,Mobile
Madison,AL,Montgomery
Steele,AL,Lawrence
Midland City,AL,NULL
Hartselle,AL,Henry
Bessemer,AL,Madison
New Market,AL,Limestone
Hamilton,AL,Baldwin
Pelham,AL,DeKalb
Opelika,AL,Jefferson
Rogersville,AL,Baldwin
Fort Rucker,AL,NULL
Oxford,AL,Shelby
"Orange Beach, Alabama",AL,Baldwin
Albertville,AL,NULL
Loxley,AL,Shelby
Hope Hull,AL,NULL
Greensboro,AL,Madison
Northport,AL,St. Clair
Elsanor,AL,Dale
Lillian,AL,Morgan
Owens Cross Roads,AL,Jefferson
Fairhope,AL,Madison
Trussville,AL,Marion
Mentone,AL,Shelby
"Gulf Shores, Al",AL,Lee
Birmingham,AL,Lauderdale
Vance,AL,Dale
Huntsville,AL,Calhoun
Kimberly,AL,NULL
Wheeler Nwr,AL,Marshall
Chelsea,AL,Baldwin
Alexandria,AL,NULL
Talladega,AL,Hale
Frisco City,AL,Tuscaloosa
Florence,AL,NULL
Coden,AL,Baldwin
Orange Beach,AL,Madison
"Frankfort, Kentucky",AL,Baldwin
Ramer,AL,Jefferson
Birmignham,AL,DeKalb
Phenix City,AL,NULL
Gadsden,AL,Jefferson
Columbiana,AL,Tuscaloosa
Cedar Bluff,AL,Madison
Wetumpka,AL,Jefferson
West Blocton,AL,NULL
Foley,AL,Shelby
Winfield,AL,Calhoun
Eufaula,AL,Talladega
Summerdale,AL,Monroe
Robertsdale,AL,Lauderdale
Bay Minette,AL,NULL
Harvest,AL,Baldwin
Elberta,AL,NULL
Lanett,AL,NULL
Centreville,AL,NULL
Tanner,AL,Russell
Tallassee,AL,Etowah
Dothan,AL,Shelby
Anniston,AL,Cherokee
Pleasant Grove,AL,Elmore
Irvington,AL,Bibb
Heflin,AL,Baldwin
Indian Springs Village,AL,Marion
Mc Calla,AL,Barbour
Gordo,AL,Baldwin
Remlap,AL,Baldwin
Spanish Fort,AL,Baldwin
Tuscumbia,AL,Madison
Dauphin Island,AL,Baldwin
Calera,AL,Chambers
Port Gibson,MS,Bibb
Hattiesburg,MS,NULL
Grenada,MS,Elmore
Kiln,MS,Houston
Soso,MS,Calhoun
Belzoni,MS,Jefferson
Yazoo City,MS,NULL
Iuka,MS,Cleburne
Verona,MS,Shelby
State Line,MS,NULL
Pass Christian,MS,Pickens
Gulfport,MS,Blount
Moss Point,MS,Baldwin
Bay St Louis,MS,Colbert
Magnolia,MS,Mobile
Lucedale,MS,Shelby
Tupelo,MS,Claiborne
Waynesboro,MS,Forrest
Anguilla,MS,Grenada
Lake Cormorant,MS,Hancock
Clinton,MS,Jones
Pontotoc,MS,Humphreys
Purvis,MS,Yazoo
Madisonville,MS,Tishomingo
Greenwood,MS,Lee
Olive Branch,MS,Wayne
Jackson,MS,Harrison
Long Beach,MS,Harrison
Laurel,MS,Jackson
Meridian,MS,NULL
Aberdeen,MS,Pike
Cleveland,MS,George
Bay Springs,MS,Lee
Corinth,MS,Wayne
Natchez,MS,Sharkey
Hernando,MS,NULL
Water Valley,MS,Hinds
Raymond,MS,Pontotoc
Byhalia,MS,Lamar
Greenville,MS,NULL
Gautier,MS,Leflore
Ocean Springs,MS,DeSoto
Saucier,MS,Hinds
New Albany,MS,Harrison
Petal,MS,Jones
Brandon,MS,Lauderdale
Flora,MS,Monroe
Biloxi,MS,Bolivar
Poplarville,MS,Jasper
Columbia,MS,Alcorn
Seminary,MS,Adams
Carriere,MS,DeSoto
University,MS,Yalobusha
Tylertown,MS,Hinds
Magee,MS,Marshall
Picayune,MS,Washington
Madison,MS,Jackson
Wiggins,MS,Jackson
Southaven,MS,Harrison
Oxford,MS,Union
Vicksburg,MS,Forrest
Diamondhead,MS,Rankin
Clarksdale,MS,Madison
Senatobia,MS,Harrison
Mendenhall,MS,Pearl River
West Point,MS,Marion
Florence,MS,Covington
Brookhaven,MS,NULL
Smithville,MS,Lafayette
Pascagoula,MS,Walthall
Bolton,MS,Simpson
Kosciusko,MS,Pearl River
Mccomb,MS,Madison
Lumberton,MS,Stone
Ecru,MS,DeSoto
Mc Neill,MS,Lafayette
Wesson,MS,Warren
Robinsonville,MS,Hancock
Sumrall,MS,Coahoma
Holly Springs,MS,Tate
Ridgeland,MS,Simpson
Starkville,MS,Clay
Pearl,MS,Rankin
,LA,Lincoln
Breaux Bridge,LA,Monroe
Baton Rouge,LA,Jackson
Eden Isle,LA,Hinds
Duson,LA,Attala
Franklin,LA,Pike
Ringgold,LA,Lamar
Livingston,LA,Pontotoc
Cocodrie,LA,NULL
Maringouin,LA,Copiah
New Orleans,LA,NULL
Springfield,LA,Lamar
Geismar,LA,Marshall
Hammond,LA,Madison
Arabi,LA,Oktibbeha
Kaplan,LA,Rankin
Raceland,LA,NULL
Saint Amant,LA,St. Martin
Saint Bernard,LA,East Baton Rouge
Saline,LA,St. Tammany
Youngsville,LA,Lafayette
Folsom,LA,St. Mary
"Metairie,",LA,Bienville
Lafayette,LA,Livingston
Grand Cane,LA,NULL
Eros,LA,Iberville
Krotz Springs,LA,Orleans
Jeanerette,LA,Livingston
Creole,LA,NULL
Chalmette,LA,Tangipahoa
Covington,LA,St. Bernard
